ESS SRR12191283;SRR12191295
USB-412 SRR12366466;SRR12366467
USB-414 SRR12366464;SRR12366465
USB-418 SRR12366372;SRR12366374
USB-419 SRR12366370;SRR12366371
USB-421 SRR12366367;SRR12366368
USB-423 SRR12366363;SRR12366364
USB-424 SRR12366362
USB-425 SRR12366361
USB-430 SRR12366355
USB-431 SRR12366354
USB-432 SRR12366353
USB-435 SRR12366350
USB-436 SRR12366348;SRR12366349
USB-437 SRR12366346
USB-438 SRR12366247
USB-440 SRR12366244
USB-441 SRR12366243
USB-443 SRR12366241
USB-444 SRR12366240
USB-446 SRR12366238
USB-447 SRR12366236
USB-448 SRR12366235
USB-449 SRR12366234
USB-450 SRR12366232;SRR12366233
USB-451 SRR12366231
USB-452 SRR12366230
USB-453 SRR12366229
USB-455 SRR12366225;SRR12366227
USB-459 SRR12366222;SRR12366223
USB-460 SRR12366221
USB-462 SRR12366219;SRR12366220
USB-463 SRR12366513
USB-465 SRR12366507;SRR12366508
USB-467 SRR12366503;SRR12366504
USB-468 SRR12366501;SRR12366502
USB-470 SRR12366499
USB-472 SRR12366497
USB-473 SRR12366496
USB-475 SRR12366494
USB-476 SRR12366493
USB-477 SRR12366492
USB-479 SRR12366489;SRR12366490
USB-480 SRR12366485;SRR12366488
USB-481 SRR12366316;SRR12366317
USB-484 SRR12366315
USB-486 SRR12366313
USB-497 SRR12366304
USB-498 SRR12366303
USB-500 SRR12366301
USB-502 SRR12366300
USB-504 SRR12366298;SRR12366299
USB-505 SRR12366295;SRR12366296
USB-512 SRR12366290;SRR12366291
USB-520 SRR12366182
USB-524 SRR12366176;SRR12366177
USB-525 SRR12366174
USB-526 SRR12366172;SRR12366173
USB-527 SRR12366171
USB-528 SRR12366170
USB-530 SRR12366168
USB-531 SRR12366167
USB-533 SRR12366165;SRR12366166
USB-534 SRR12366163
USB-538 SRR12366344
USB-541 SRR12366341
USB-553 SRR12366329
USB-560 SRR12366322
USB-562 SRR12366320
USB-565 SRR12366288;SRR12366289
USB-580 SRR12366270
USB-584 SRR12366264
USB-585 SRR12366263
USB-593 SRR12366449
USB-596 SRR12366444
USB-597 SRR12366443
USB-602 SRR12366440;SRR12366441
USB-604 SRR12366436
USB-609 SRR12366433
USB-613 SRR12366429
USB-615 SRR12366160
USB-616 SRR12366158
USB-618 SRR12366156
USB-619 SRR12366155
USB-623 SRR12366152
USB-630 SRR12366149
USB-637 SRR12366141;SRR12366142
USB-642 SRR12366139
USB-650 SRR12366136
USB-656 SRR12366133
USB-663 SRR12366131
USB-664 SRR12366130
USB-666 SRR12366129
USB-669 SRR12366128
USB-670 SRR12366127
USB-672 SRR12366125
USB-673 SRR12366124
USB-674 SRR12366123
USB-676 SRR12366121
USB-677 SRR12366120
USB-678 SRR12366119
USB-679 SRR12366118
USB-684 SRR12366113
USB-688 SRR12366111
USB-689 SRR12366110
USB-694 SRR12366107
USB-697 SRR12366399
USB-699 SRR12366398
USB-700 SRR12366396
USB-701 SRR12366395
USB-703 SRR12366394
USB-711 SRR12366388
USB-713 SRR12366385
USB-729 SRR12366379
USB-730 SRR12366378
USB-737 SRR12366536
USB-740 SRR12366535
USB-745 SRR12366531
USB-758 SRR12366519
USB-759 SRR12366518
USB-762 SRR12366515
USB-763 SRR12366514
USB-769 SRR12366217
USB-773 SRR12366214
USB-777 SRR12366211
USB-778 SRR12366210
USB-779 SRR12366209
USB-780 SRR12366208
USB-781 SRR12366207
USB-782 SRR12366205;SRR12366206
USB-783 SRR12366204
USB-784 SRR12366203
USB-786 SRR12366202
USB-792 SRR12366198
USB-793 SRR12366197
USB-794 SRR12366196
USB-798 SRR12366194
USB-801 SRR12366564
USB-802 SRR12366562
USB-803 SRR12366561
USB-812 SRR12366557
USB-819 SRR12366554
